Date,Open,High,Low,Close,Adj Close,P/L,GGLL,Date,Open,High,Low,Close,Adj Close,P/L,ratio,___,
7-May-25,164.08,165,147.84,151.38,151.38,-7.260%,,7-May-25,31.37,31.65,25.22,26.51,26.51,-14.539%,2.00,0.14%,
6-May-25,162.17,164.8,161.19,163.23,163.23,-0.597%,,6-May-25,30.51,31.62,30.26,31.02,31.02,-1.336%,2.24,11.92%,
5-May-25,163,165.39,162.72,164.21,164.21,0.110%,,5-May-25,30.9,31.86,30.9,31.44,31.44,0.319%,2.91,45.39%,
2-May-25,163.41,164.97,161.87,164.03,164.03,1.692%,,2-May-25,31.16,31.7,30.58,31.34,31.34,3.296%,1.95,-2.63%,
1-May-25,160.45,161.95,158.91,161.3,161.3,1.574%,,1-May-25,30.08,30.59,29.48,30.34,30.34,3.092%,1.96,-1.80%,
30-Apr-25,157.98,159.27,155.4,158.8,158.8,-0.849%,,30-Apr-25,29.03,29.6,28.19,29.43,29.43,-1.802%,2.12,6.09%,
29-Apr-25,160.32,160.74,157.52,160.16,160.16,-0.280%,,29-Apr-25,30.06,30.18,28.98,29.97,29.97,-0.597%,2.13,6.54%,
28-Apr-25,162.43,163.15,158.6,160.61,160.61,-0.834%,,28-Apr-25,30.81,31.09,29.38,30.15,30.15,-1.567%,1.88,-6.00%,
25-Apr-25,165.07,166.1,161.04,161.96,161.96,1.683%,,25-Apr-25,31.81,32.19,30.33,30.63,30.63,3.201%,1.90,-4.88%,
24-Apr-25,156.15,159.59,155.79,159.28,159.28,2.530%,,24-Apr-25,28.59,29.81,28.46,29.68,29.68,5.062%,2.00,0.05%,
23-Apr-25,155.61,157.53,153.81,155.35,155.35,2.562%,,23-Apr-25,28.35,29.04,27.75,28.25,28.25,5.058%,1.97,-1.28%,
22-Apr-25,148.89,152.19,148.54,151.47,151.47,2.573%,,22-Apr-25,26.03,27.15,25.9,26.89,26.89,5.080%,1.97,-1.29%,
21-Apr-25,148.88,148.95,146.1,147.67,147.67,-2.309%,,21-Apr-25,25.92,25.97,25.02,25.59,25.59,-4.693%,2.03,1.63%,
17-Apr-25,154.29,154.68,148.5,151.16,151.16,-1.415%,,17-Apr-25,27.98,28.09,25.9,26.85,26.85,-2.963%,2.09,4.70%,
16-Apr-25,153.1,155.89,151.51,153.33,153.33,-1.906%,,16-Apr-25,27.53,28.59,27,27.67,27.67,-3.857%,2.02,1.15%,
15-Apr-25,159.13,159.65,155.21,156.31,156.31,-1.735%,,15-Apr-25,29.79,30.01,28.38,28.78,28.78,-3.552%,2.05,2.37%,
14-Apr-25,160,161.72,157.56,159.07,159.07,1.228%,,14-Apr-25,30.21,30.78,29.26,29.84,29.84,2.684%,2.19,9.27%,
11-Apr-25,152.9,157.67,152.82,157.14,157.14,2.827%,,11-Apr-25,27.71,29.24,27.62,29.06,29.06,5.404%,1.91,-4.41%,
10-Apr-25,156.54,157.72,149.93,152.82,152.82,-3.711%,,10-Apr-25,29,29.36,26.5,27.57,27.57,-7.234%,1.95,-2.54%,
9-Apr-25,144.42,159.55,143.91,158.71,158.71,9.682%,,9-Apr-25,24.91,30.05,24.7,29.72,29.72,18.928%,1.95,-2.25%,
8-Apr-25,151.22,152.24,143.03,144.7,144.7,-1.397%,,8-Apr-25,27.29,27.61,24.43,24.99,24.99,-2.800%,2.00,0.24%,
7-Apr-25,141.55,152.85,140.53,146.75,146.75,0.790%,,7-Apr-25,23.85,27.69,23.6,25.71,25.71,1.661%,2.10,5.13%,
4-Apr-25,148.01,151.07,145.38,145.6,145.6,-3.397%,,4-Apr-25,26.16,27.25,25.24,25.29,25.29,-6.919%,2.04,1.84%,
3-Apr-25,151.11,152.78,150.39,150.72,150.72,-4.024%,,3-Apr-25,27.28,27.94,27.08,27.17,27.17,-8.023%,1.99,-0.32%,
2-Apr-25,155.15,158.41,154.7,157.04,157.04,-0.019%,,2-Apr-25,28.89,30.1,28.7,29.54,29.54,-0.135%,7.08,254.00%,"______, ___"
1-Apr-25,153.62,158.1,153.62,157.07,157.07,1.571%,,1-Apr-25,28.41,29.97,28.35,29.58,29.58,3.102%,1.97,-1.29%,
31-Mar-25,153.11,155.54,150.66,154.64,154.64,0.201%,,31-Mar-25,28.1,29,27.26,28.69,28.69,0.245%,1.22,-39.12%,
28-Mar-25,160.49,161.82,153.63,154.33,154.33,-4.875%,,28-Mar-25,31.05,31.49,28.35,28.62,28.62,-9.745%,2.00,-0.07%,
27-Mar-25,164.63,165.42,162,162.24,162.24,-1.708%,,27-Mar-25,32.62,32.96,31.65,31.71,31.71,-3.470%,2.03,1.56%,
26-Mar-25,169,169.61,164.84,165.06,165.06,-3.225%,,26-Mar-25,34.5,34.73,32.78,32.85,32.85,-6.517%,2.02,1.05%,
