Date,Open,High,Low,Close,Adj Close,P/L
7-May-25,113.05,117.68,112.28,117.06,117.06,3.100%
6-May-25,111.48,114.74,110.82,113.54,113.54,-0.246%
5-May-25,112.91,114.67,112.66,113.82,113.82,-0.594%
2-May-25,114.18,115.4,113.37,114.5,114.5,2.589%
1-May-25,113.08,114.94,111.3,111.61,111.61,2.470%
30-Apr-25,104.47,108.92,104.08,108.92,108.92,-0.092%
29-Apr-25,107.67,110.2,107.44,109.02,109.02,0.267%
28-Apr-25,109.69,110.37,106.02,108.73,108.73,-2.054%
25-Apr-25,106.85,111.92,105.73,111.01,111.01,4.303%
24-Apr-25,103.48,106.54,103.11,106.43,106.43,3.622%
23-Apr-25,104.52,104.8,102.02,102.71,102.71,3.863%
22-Apr-25,98.78,99.81,97.28,98.89,98.89,2.043%
21-Apr-25,98.77,99.44,95.04,96.91,96.91,-4.513%
17-Apr-25,104.45,104.47,100.05,101.49,101.49,-2.871%
16-Apr-25,104.55,106.79,100.45,104.49,104.49,-6.872%
15-Apr-25,110.97,113.62,110.5,112.2,112.2,1.346%
14-Apr-25,114.11,114.29,109.07,110.71,110.71,-0.198%
11-Apr-25,108.5,111.55,107.48,110.93,110.93,3.124%
10-Apr-25,109.37,110.86,99.15,107.57,107.57,-5.913%
9-Apr-25,98.89,115.1,97.53,114.33,114.33,18.723%
8-Apr-25,103.81,105.85,94.46,96.3,96.3,-1.372%
7-Apr-25,87.46,101.75,86.62,97.64,97.64,3.531%
4-Apr-25,98.91,100.13,92.11,94.31,94.31,-7.358%
3-Apr-25,103.51,105.63,101.6,101.8,101.8,-7.807%
2-Apr-25,107.29,111.98,106.79,110.42,110.42,0.245%
1-Apr-25,108.52,110.2,106.47,110.15,110.15,1.633%
31-Mar-25,105.13,110.96,103.65,108.38,108.38,-1.176%
28-Mar-25,111.49,112.87,109.07,109.67,109.67,-1.579%
27-Mar-25,111.35,114.45,110.66,111.43,111.43,-2.048%
26-Mar-25,118.73,118.84,112.71,113.76,113.76,-5.742%
25-Mar-25,120.55,121.29,118.92,120.69,120.69,-0.593%
24-Mar-25,119.88,122.22,119.34,121.41,121.41,3.152%
21-Mar-25,116.94,117.99,115.42,117.7,117.7,-0.700%
20-Mar-25,116.55,120.2,116.47,118.53,118.53,0.859%
19-Mar-25,117.27,120.45,115.68,117.52,117.52,1.811%
18-Mar-25,118,119.02,114.54,115.43,115.43,-3.430%
17-Mar-25,122.74,122.89,118.03,119.53,119.53,-1.759%
14-Mar-25,118.61,121.88,118.15,121.67,121.67,5.269%
13-Mar-25,117.03,117.76,113.79,115.58,115.58,-0.138%
12-Mar-25,114.12,116.76,112.88,115.74,115.74,6.428%
11-Mar-25,106.99,112.24,104.77,108.76,108.75,1.664%
10-Mar-25,109.9,111.85,105.46,106.98,106.97,-5.067%
7-Mar-25,111.25,113.48,107.56,112.69,112.68,1.918%
6-Mar-25,113.53,115.35,110.22,110.57,110.56,-5.738%
5-Mar-25,117.58,118.28,114.51,117.3,117.29,1.130%
4-Mar-25,110.65,119.31,110.11,115.99,115.98,1.692%
3-Mar-25,123.51,123.7,112.28,114.06,114.05,-8.694%
28-Feb-25,118.02,125.09,116.4,124.92,124.91,3.970%
27-Feb-25,135,135.01,120.01,120.15,120.14,-8.479%
26-Feb-25,129.99,133.73,128.49,131.28,131.27,3.672%
25-Feb-25,129.98,130.2,124.44,126.63,126.62,-2.802%
24-Feb-25,136.56,138.59,130.08,130.28,130.27,-3.087%
21-Feb-25,140.04,141.46,134.03,134.43,134.42,-4.054%
20-Feb-25,140.03,140.66,136.79,140.11,140.1,0.632%
19-Feb-25,139.51,141.36,137.22,139.23,139.22,-0.122%
18-Feb-25,141.27,143.44,137.93,139.4,139.39,0.396%
14-Feb-25,136.48,139.25,135.5,138.85,138.84,2.632%
13-Feb-25,131.56,136.5,131.17,135.29,135.28,3.165%
12-Feb-25,130.02,132.24,129.08,131.14,131.13,-1.250%
11-Feb-25,132.58,134.48,131.02,132.8,132.79,-0.577%
10-Feb-25,130.09,135,129.96,133.57,133.56,2.873%
7-Feb-25,129.22,130.37,125,129.84,129.83,0.902%
6-Feb-25,127.42,128.77,125.21,128.68,128.67,3.084%
5-Feb-25,121.76,125,120.76,124.83,124.82,5.209%
4-Feb-25,116.96,121.2,116.7,118.65,118.64,1.706%
3-Feb-25,114.75,118.57,113.01,116.66,116.65,-2.840%
31-Jan-25,123.78,127.85,119.19,120.07,120.06,-3.675%
30-Jan-25,123.1,125,118.1,124.65,124.64,0.768%
29-Jan-25,126.5,126.89,120.05,123.7,123.69,-4.101%
28-Jan-25,121.81,129,116.25,128.99,128.98,8.927%
27-Jan-25,124.8,128.4,116.7,118.42,118.41,-16.969%
24-Jan-25,148.37,148.97,141.88,142.62,142.61,-3.125%
23-Jan-25,145.05,147.23,143.72,147.22,147.21,0.102%
22-Jan-25,144.66,147.79,143.67,147.07,147.06,4.431%
21-Jan-25,139.16,141.83,137.09,140.83,140.82,2.266%
17-Jan-25,136.69,138.5,135.46,137.71,137.7,3.100%
16-Jan-25,138.64,138.75,133.49,133.57,133.56,-1.960%
15-Jan-25,133.65,136.45,131.29,136.24,136.23,3.400%
14-Jan-25,136.05,136.38,130.05,131.76,131.75,-1.103%
13-Jan-25,129.99,133.49,129.51,133.23,133.22,-1.972%
10-Jan-25,137.45,139.92,134.22,135.91,135.9,-2.998%
8-Jan-25,142.58,143.95,137.56,140.11,140.1,-0.021%
7-Jan-25,153.03,153.13,140.01,140.14,140.13,-6.217%
6-Jan-25,148.59,152.16,147.82,149.43,149.42,3.433%
3-Jan-25,140.01,144.9,139.73,144.47,144.46,4.454%
2-Jan-25,136,138.88,134.63,138.31,138.3,2.994%
31-Dec-24,138.03,138.07,133.83,134.29,134.28,-2.328%
30-Dec-24,134.83,140.27,134.02,137.49,137.48,0.350%
27-Dec-24,138.55,139.02,134.71,137.01,137,-2.087%
26-Dec-24,139.7,140.85,137.73,139.93,139.92,-0.207%
24-Dec-24,140,141.9,138.65,140.22,140.21,0.394%
23-Dec-24,136.28,139.79,135.12,139.67,139.66,3.690%
20-Dec-24,129.81,135.28,128.22,134.7,134.69,3.076%
19-Dec-24,131.76,134.03,129.55,130.68,130.67,1.373%
18-Dec-24,133.86,136.7,128.28,128.91,128.9,-1.135%
17-Dec-24,129.09,131.59,126.86,130.39,130.38,-1.220%
16-Dec-24,134.18,134.4,130.42,132,131.99,-1.676%
13-Dec-24,138.94,139.6,132.54,134.25,134.24,-2.250%
12-Dec-24,137.08,138.44,135.8,137.34,137.33,-1.414%
