Date,Open,High,Low,Close,Adj Close,P/L
7-Mar-25,"5,726.01","5,783.01","5,666.29","5,770.20","5,770.20",0.552%
6-Mar-25,"5,785.87","5,812.08","5,711.64","5,738.52","5,738.52",-1.782%
5-Mar-25,"5,781.36","5,860.59","5,742.35","5,842.63","5,842.63",1.116%
4-Mar-25,"5,811.98","5,865.08","5,732.59","5,778.15","5,778.15",-1.223%
3-Mar-25,"5,968.33","5,986.09","5,810.91","5,849.72","5,849.72",-1.760%
28-Feb-25,"5,856.74","5,959.40","5,837.66","5,954.50","5,954.50",1.585%
27-Feb-25,"5,981.88","5,993.69","5,858.78","5,861.57","5,861.57",-1.586%
26-Feb-25,"5,970.87","6,009.82","5,932.69","5,956.06","5,956.06",0.014%
25-Feb-25,"5,982.73","5,992.65","5,908.49","5,955.25","5,955.25",-0.468%
24-Feb-25,"6,026.69","6,043.65","5,977.83","5,983.25","5,983.25",-0.497%
21-Feb-25,"6,114.10","6,114.82","6,008.56","6,013.13","6,013.13",-1.706%
20-Feb-25,"6,134.50","6,134.50","6,084.59","6,117.52","6,117.52",-0.433%
19-Feb-25,"6,117.76","6,147.43","6,111.15","6,144.15","6,144.15",0.238%
18-Feb-25,"6,121.60","6,129.63","6,099.51","6,129.58","6,129.58",0.244%
14-Feb-25,"6,115.52","6,127.47","6,107.62","6,114.63","6,114.63",-0.007%
13-Feb-25,"6,060.59","6,116.91","6,050.95","6,115.07","6,115.07",1.043%
12-Feb-25,"6,025.08","6,063.00","6,003.00","6,051.97","6,051.97",-0.272%
11-Feb-25,"6,049.32","6,076.28","6,042.34","6,068.50","6,068.50",0.034%
10-Feb-25,"6,046.40","6,073.38","6,044.84","6,066.44","6,066.44",0.671%
7-Feb-25,"6,083.13","6,101.28","6,019.96","6,025.99","6,025.99",-0.946%
6-Feb-25,"6,072.22","6,084.03","6,046.83","6,083.57","6,083.57",0.364%
5-Feb-25,"6,020.45","6,062.86","6,007.06","6,061.48","6,061.48",0.391%
4-Feb-25,"5,998.14","6,042.48","5,990.87","6,037.88","6,037.88",0.722%
3-Feb-25,"5,969.65","6,022.13","5,923.93","5,994.57","5,994.57",-0.761%
31-Jan-25,"6,096.79","6,120.91","6,030.93","6,040.53","6,040.53",-0.505%
30-Jan-25,"6,050.75","6,086.64","6,027.46","6,071.17","6,071.17",0.528%
29-Jan-25,"6,057.70","6,062.83","6,012.96","6,039.31","6,039.31",-0.468%
28-Jan-25,"6,026.97","6,074.54","5,994.63","6,067.70","6,067.70",0.922%
27-Jan-25,"5,969.04","6,017.17","5,962.92","6,012.28","6,012.28",-1.458%
24-Jan-25,"6,121.43","6,128.18","6,088.74","6,101.24","6,101.24",-0.286%
23-Jan-25,"6,076.32","6,118.73","6,074.67","6,118.71","6,118.71",0.531%
22-Jan-25,"6,081.39","6,100.81","6,076.13","6,086.37","6,086.37",0.614%
21-Jan-25,"6,014.12","6,051.51","6,006.88","6,049.24","6,049.24",0.877%
17-Jan-25,"5,995.40","6,014.96","5,978.44","5,996.66","5,996.66",0.999%
16-Jan-25,"5,963.61","5,964.69","5,930.72","5,937.34","5,937.34",-0.211%
15-Jan-25,"5,905.21","5,960.61","5,905.21","5,949.91","5,949.91",1.831%
14-Jan-25,"5,859.27","5,871.92","5,805.42","5,842.91","5,842.91",0.115%
13-Jan-25,"5,782.02","5,838.61","5,773.31","5,836.22","5,836.22",0.158%
10-Jan-25,"5,890.35","5,890.35","5,807.78","5,827.04","5,827.04",-1.541%
8-Jan-25,"5,910.66","5,927.89","5,874.78","5,918.25","5,918.25",0.156%
7-Jan-25,"5,993.26","6,000.68","5,890.68","5,909.03","5,909.03",-1.110%
6-Jan-25,"5,982.81","6,021.04","5,960.01","5,975.38","5,975.38",0.554%
3-Jan-25,"5,891.07","5,949.34","5,888.66","5,942.47","5,942.47",1.260%
2-Jan-25,"5,903.26","5,935.09","5,829.53","5,868.55","5,868.55",-0.222%
31-Dec-24,"5,919.74","5,929.74","5,868.86","5,881.63","5,881.63",-0.428%
30-Dec-24,"5,920.67","5,940.79","5,869.16","5,906.94","5,906.94",-1.070%
27-Dec-24,"6,006.17","6,006.17","5,932.95","5,970.84","5,970.84",-1.106%
26-Dec-24,"6,024.97","6,049.75","6,007.37","6,037.59","6,037.59",-0.041%
24-Dec-24,"5,984.63","6,040.10","5,981.44","6,040.04","6,040.04",1.104%
23-Dec-24,"5,940.25","5,978.25","5,902.57","5,974.07","5,974.07",0.729%
20-Dec-24,"5,842.00","5,982.06","5,832.30","5,930.85","5,930.85",1.087%
19-Dec-24,"5,912.71","5,935.52","5,866.07","5,867.08","5,867.08",-0.087%
18-Dec-24,"6,047.65","6,070.67","5,867.79","5,872.16","5,872.16",-2.949%
17-Dec-24,"6,052.55","6,057.68","6,035.19","6,050.61","6,050.61",-0.386%
16-Dec-24,"6,063.79","6,085.19","6,059.14","6,074.08","6,074.08",0.380%
13-Dec-24,"6,068.17","6,078.58","6,035.77","6,051.09","6,051.09",-0.003%
12-Dec-24,"6,074.29","6,079.68","6,051.25","6,051.25","6,051.25",-0.541%
11-Dec-24,"6,060.15","6,092.59","6,060.15","6,084.19","6,084.19",0.817%
10-Dec-24,"6,057.59","6,065.40","6,029.89","6,034.91","6,034.91",-0.296%
9-Dec-24,"6,083.01","6,088.51","6,048.63","6,052.85","6,052.85",-0.614%
6-Dec-24,"6,081.38","6,099.97","6,079.98","6,090.27","6,090.27",0.250%
5-Dec-24,"6,089.03","6,094.55","6,072.90","6,075.11","6,075.11",-0.187%
4-Dec-24,"6,069.39","6,089.84","6,061.06","6,086.49","6,086.49",0.605%
3-Dec-24,"6,042.97","6,052.07","6,033.39","6,049.88","6,049.88",0.045%
2-Dec-24,"6,040.11","6,053.58","6,035.33","6,047.15","6,047.15",0.245%
29-Nov-24,"6,003.98","6,044.17","6,003.98","6,032.38","6,032.38",0.561%
27-Nov-24,"6,014.11","6,020.16","5,984.87","5,998.74","5,998.74",-0.380%
26-Nov-24,"6,000.03","6,025.42","5,992.27","6,021.63","6,021.63",0.572%
25-Nov-24,"5,992.28","6,020.75","5,963.91","5,987.37","5,987.37",0.302%
22-Nov-24,"5,944.36","5,972.90","5,944.36","5,969.34","5,969.34",0.347%
21-Nov-24,"5,940.58","5,963.32","5,887.26","5,948.71","5,948.71",0.534%
20-Nov-24,"5,914.34","5,920.67","5,860.56","5,917.11","5,917.11",0.002%
19-Nov-24,"5,870.05","5,923.51","5,855.29","5,916.98","5,916.98",0.396%
18-Nov-24,"5,874.17","5,908.12","5,865.95","5,893.62","5,893.62",0.392%
15-Nov-24,"5,912.79","5,915.32","5,853.01","5,870.62","5,870.62",-1.320%
14-Nov-24,"5,989.68","5,993.88","5,942.28","5,949.17","5,949.17",-0.605%
13-Nov-24,"5,985.75","6,008.19","5,965.91","5,985.38","5,985.38",0.023%
12-Nov-24,"6,003.60","6,009.92","5,960.08","5,983.99","5,983.99",-0.289%
11-Nov-24,"6,008.86","6,017.31","5,986.69","6,001.35","6,001.35",0.097%
8-Nov-24,"5,976.76","6,012.45","5,976.76","5,995.54","5,995.54",0.376%
7-Nov-24,"5,947.21","5,983.84","5,947.21","5,973.10","5,973.10",0.743%
6-Nov-24,"5,864.89","5,936.14","5,864.89","5,929.04","5,929.04",2.530%
5-Nov-24,"5,722.43","5,783.44","5,722.10","5,782.76","5,782.76",1.227%
4-Nov-24,"5,725.15","5,741.43","5,696.51","5,712.69","5,712.69",-0.281%
1-Nov-24,"5,723.22","5,772.52","5,723.22","5,728.80","5,728.80",0.409%
31-Oct-24,"5,775.34","5,775.34","5,702.86","5,705.45","5,705.45",-1.861%
30-Oct-24,"5,832.65","5,850.94","5,811.28","5,813.67","5,813.67",-0.330%
29-Oct-24,"5,819.68","5,847.19","5,802.17","5,832.92","5,832.92",0.161%
28-Oct-24,"5,833.93","5,842.92","5,823.08","5,823.52","5,823.52",0.265%
25-Oct-24,"5,826.75","5,862.82","5,799.98","5,808.12","5,808.12",-0.030%
24-Oct-24,"5,817.80","5,817.80","5,784.92","5,809.86","5,809.86",0.215%
23-Oct-24,"5,834.50","5,834.85","5,762.41","5,797.42","5,797.42",-0.919%
22-Oct-24,"5,832.70","5,863.04","5,821.17","5,851.20","5,851.20",-0.047%
